HS_POPN,Pred_school_num,PSGC_BRGY
62.0,1.0,PH150702004
53.0,1.0,PH150702054
38.0,1.0,PH150702056
71.0,1.0,PH150702057
51.0,1.0,PH150702063
461.0,1.0,PH150702069
61.0,1.0,PH150702070
88.0,1.0,PH150703026
41.0,1.0,PH150703029
63.0,1.0,PH150703030
45.0,1.0,PH150703036
138.0,1.0,PH150704004
67.0,1.0,PH150704006
61.0,1.0,PH150704007
650.0,1.0,PH150704012
196.0,1.0,PH150704020
65.0,1.0,PH150705002
108.0,1.0,PH150705027
170.0,1.0,PH150705043
287.0,1.0,PH150707005
169.0,1.0,PH150707033
148.0,1.0,PH150707040
115.0,1.0,PH150708005
179.0,1.0,PH150708006
143.0,1.0,PH150708009
92.0,1.0,PH150709001
253.0,1.0,PH150709007
89.0,1.0,PH150709010
220.0,1.0,PH150709013
54.0,1.0,PH150709014
188.0,1.0,PH153601009
67.0,1.0,PH153601010
54.0,1.0,PH153601011
69.0,1.0,PH153601014
101.0,1.0,PH153601018
59.0,1.0,PH153601021
88.0,1.0,PH153601028
65.0,1.0,PH153602006
83.0,1.0,PH153602014
69.0,1.0,PH153602015
42.0,1.0,PH153602019
68.0,1.0,PH153602022
101.0,1.0,PH153602029
114.0,1.0,PH153602050
122.0,1.0,PH153602052
72.0,1.0,PH153602054
87.0,1.0,PH153602055
84.0,1.0,PH153603007
97.0,1.0,PH153603011
93.0,1.0,PH153603016
27.0,1.0,PH153603018
57.0,1.0,PH153603024
23.0,1.0,PH153603026
79.0,1.0,PH153603027
48.0,1.0,PH153603035
48.0,1.0,PH153603037
61.0,1.0,PH153603041
55.0,1.0,PH153603042
37.0,1.0,PH153603054
33.0,1.0,PH153604004
116.0,1.0,PH153604010
31.0,1.0,PH153604011
110.0,1.0,PH153604012
47.0,1.0,PH153604020
64.0,1.0,PH153604027
38.0,1.0,PH153604028
47.0,1.0,PH153604031
12.0,1.0,PH153604032
20.0,1.0,PH153604033
18.0,1.0,PH153604036
61.0,1.0,PH153604038
48.0,1.0,PH153604042
42.0,1.0,PH153604048
47.0,1.0,PH153604051
21.0,1.0,PH153604052
59.0,1.0,PH153604053
35.0,1.0,PH153604056
53.0,1.0,PH153605001
111.0,1.0,PH153605002
90.0,1.0,PH153605005
81.0,1.0,PH153605009
66.0,1.0,PH153605014
15.0,1.0,PH153605018
61.0,1.0,PH153605023
31.0,1.0,PH153605024
25.0,1.0,PH153605034
34.0,1.0,PH153606003
115.0,1.0,PH153606004
37.0,1.0,PH153606006
86.0,1.0,PH153606008
58.0,1.0,PH153606012
128.0,1.0,PH153606014
74.0,1.0,PH153606017
40.0,1.0,PH153606019
36.0,1.0,PH153606022
33.0,1.0,PH153606023
48.0,1.0,PH153606028
30.0,1.0,PH153606030
37.0,1.0,PH153606032
39.0,1.0,PH153606035
104.0,1.0,PH153606037
41.0,1.0,PH153606048
64.0,1.0,PH153606053
42.0,1.0,PH153606054
37.0,1.0,PH153606058
52.0,1.0,PH153606060
73.0,1.0,PH153607013
79.0,1.0,PH153609003
43.0,1.0,PH153609004
34.0,1.0,PH153609007
65.0,1.0,PH153609009
48.0,1.0,PH153609013
100.0,1.0,PH153609015
41.0,1.0,PH153609029
102.0,1.0,PH153609032
39.0,1.0,PH153609033
50.0,1.0,PH153609034
41.0,1.0,PH153609053
112.0,1.0,PH153610009
116.0,1.0,PH153610025
71.0,1.0,PH153610030
39.0,1.0,PH153610034
35.0,1.0,PH153610035
72.0,1.0,PH153611004
37.0,1.0,PH153611020
152.0,1.0,PH153611031
85.0,1.0,PH153611040
50.0,1.0,PH153611041
64.0,1.0,PH153611044
41.0,1.0,PH153611066
95.0,1.0,PH153611078
120.0,1.0,PH153611079
50.0,1.0,PH153611081
148.0,1.0,PH153611082
55.0,1.0,PH153611094
103.0,1.0,PH153612001
57.0,1.0,PH153612008
80.0,1.0,PH153612035
99.0,1.0,PH153612050
42.0,1.0,PH153612051
47.0,1.0,PH153613001
31.0,1.0,PH153613003
29.0,1.0,PH153613006
39.0,1.0,PH153613007
62.0,1.0,PH153613013
60.0,1.0,PH153613016
52.0,1.0,PH153613017
39.0,1.0,PH153613021
22.0,1.0,PH153613022
57.0,1.0,PH153613023
58.0,1.0,PH153613028
39.0,1.0,PH153613030
48.0,1.0,PH153613036
83.0,1.0,PH153613043
35.0,1.0,PH153613044
22.0,1.0,PH153613049
41.0,1.0,PH153613050
50.0,1.0,PH153613051
53.0,1.0,PH153614003
78.0,1.0,PH153614004
44.0,1.0,PH153614005
79.0,1.0,PH153614006
85.0,1.0,PH153614007
19.0,1.0,PH153614010
45.0,1.0,PH153614017
56.0,1.0,PH153614031
32.0,1.0,PH153614032
98.0,1.0,PH153614033
77.0,1.0,PH153614034
62.0,1.0,PH153615004
81.0,1.0,PH153615006
82.0,1.0,PH153615017
74.0,1.0,PH153615019
197.0,1.0,PH153615021
39.0,1.0,PH153615027
142.0,1.0,PH153615034
108.0,1.0,PH153615038
90.0,1.0,PH153615053
56.0,1.0,PH153615059
45.0,1.0,PH153615061
41.0,1.0,PH153615063
88.0,1.0,PH153615064
88.0,1.0,PH153615070
52.0,1.0,PH153615071
96.0,1.0,PH153615075
92.0,1.0,PH153615079
106.0,1.0,PH153615081
56.0,1.0,PH153616009
78.0,1.0,PH153616039
53.0,1.0,PH153616044
80.0,1.0,PH153616059
65.0,1.0,PH153616063
74.0,1.0,PH153616083
138.0,1.0,PH153616106
82.0,1.0,PH153616110
64.0,1.0,PH153616112
67.0,1.0,PH153617003
144.0,1.0,PH153617007
84.0,1.0,PH153617013
83.0,1.0,PH153617014
333.0,1.0,PH153617015
157.0,1.0,PH153617016
110.0,1.0,PH153617017
63.0,1.0,PH153617019
72.0,1.0,PH153617021
195.0,1.0,PH153617022
56.0,1.0,PH153617023
171.0,1.0,PH153617024
114.0,1.0,PH153617027
140.0,1.0,PH153617029
97.0,1.0,PH153617030
127.0,1.0,PH153617032
308.0,1.0,PH153617035
352.0,1.0,PH153617036
138.0,1.0,PH153617040
84.0,1.0,PH153617042
161.0,1.0,PH153617043
179.0,1.0,PH153617045
143.0,1.0,PH153617046
191.0,1.0,PH153617049
263.0,1.0,PH153617051
123.0,1.0,PH153617052
77.0,1.0,PH153617063
48.0,1.0,PH153617064
339.0,1.0,PH153617065
82.0,1.0,PH153617068
123.0,1.0,PH153617069
214.0,1.0,PH153617071
69.0,1.0,PH153617074
239.0,1.0,PH153617079
260.0,1.0,PH153617080
381.0,1.0,PH153617083
65.0,1.0,PH153617085
153.0,1.0,PH153617086
80.0,1.0,PH153617089
203.0,1.0,PH153617097
114.0,1.0,PH153617098
125.0,1.0,PH153617101
149.0,1.0,PH153617103
123.0,1.0,PH153617110
260.0,1.0,PH153617111
134.0,1.0,PH153617113
201.0,1.0,PH153617117
51.0,1.0,PH153617119
249.0,1.0,PH153617120
60.0,1.0,PH153617123
126.0,1.0,PH153617124
155.0,1.0,PH153617126
155.0,1.0,PH153617127
107.0,1.0,PH153617129
138.0,1.0,PH153617133
105.0,1.0,PH153617134
117.0,1.0,PH153617136
48.0,1.0,PH153617137
228.0,1.0,PH153617138
121.0,1.0,PH153617139
38.0,1.0,PH153618002
48.0,1.0,PH153618004
43.0,1.0,PH153618077
47.0,1.0,PH153618090
51.0,1.0,PH153619002
94.0,1.0,PH153619005
80.0,1.0,PH153619011
43.0,1.0,PH153619013
50.0,1.0,PH153619014
49.0,1.0,PH153619018
63.0,1.0,PH153619019
31.0,1.0,PH153619026
57.0,1.0,PH153619027
76.0,1.0,PH153619028
34.0,1.0,PH153619035
45.0,1.0,PH153619037
57.0,1.0,PH153619038
62.0,1.0,PH153619039
48.0,1.0,PH153620006
50.0,1.0,PH153620011
67.0,1.0,PH153620015
86.0,1.0,PH153620019
50.0,1.0,PH153620029
40.0,1.0,PH153620037
64.0,1.0,PH153620045
65.0,1.0,PH153620046
86.0,1.0,PH153620057
45.0,1.0,PH153621002
44.0,1.0,PH153621008
46.0,1.0,PH153621012
73.0,1.0,PH153621013
112.0,1.0,PH153621015
42.0,1.0,PH153621017
54.0,1.0,PH153621025
47.0,1.0,PH153622001
72.0,1.0,PH153622007
32.0,1.0,PH153622008
62.0,1.0,PH153622012
45.0,1.0,PH153622013
60.0,1.0,PH153622015
80.0,1.0,PH153622018
63.0,1.0,PH153622027
65.0,1.0,PH153622034
34.0,1.0,PH153622043
42.0,1.0,PH153623005
41.0,1.0,PH153623035
43.0,1.0,PH153624013
53.0,1.0,PH153624014
31.0,1.0,PH153624028
55.0,1.0,PH153624032
42.0,1.0,PH153624038
64.0,1.0,PH153624042
26.0,1.0,PH153624054
39.0,1.0,PH153624055
26.0,1.0,PH153624057
26.0,1.0,PH153624077
18.0,1.0,PH153624079
84.0,1.0,PH153624081
72.0,1.0,PH153624086
86.0,1.0,PH153624092
31.0,1.0,PH153624093
53.0,1.0,PH153624095
63.0,1.0,PH153625001
52.0,1.0,PH153625006
68.0,1.0,PH153625007
96.0,1.0,PH153625012
58.0,1.0,PH153626002
57.0,1.0,PH153626004
72.0,1.0,PH153626008
61.0,1.0,PH153626009
28.0,1.0,PH153626010
106.0,1.0,PH153626011
35.0,1.0,PH153626013
59.0,1.0,PH153626015
52.0,1.0,PH153626020
46.0,1.0,PH153626022
53.0,1.0,PH153626024
41.0,1.0,PH153626027
61.0,1.0,PH153626032
80.0,1.0,PH153626034
80.0,1.0,PH153626037
68.0,1.0,PH153626039
35.0,1.0,PH153626040
39.0,1.0,PH153626041
82.0,1.0,PH153626042
65.0,1.0,PH153626046
57.0,1.0,PH153626047
32.0,1.0,PH153626052
27.0,1.0,PH153626058
69.0,1.0,PH153626062
50.0,1.0,PH153626064
49.0,1.0,PH153626067
66.0,1.0,PH153626077
59.0,1.0,PH153626078
65.0,1.0,PH153626080
36.0,1.0,PH153627003
60.0,1.0,PH153627007
74.0,1.0,PH153627008
53.0,1.0,PH153627009
33.0,1.0,PH153627010
31.0,1.0,PH153627012
69.0,1.0,PH153627013
48.0,1.0,PH153627021
28.0,1.0,PH153627028
46.0,1.0,PH153627029
29.0,1.0,PH153627035
47.0,1.0,PH153627036
51.0,1.0,PH153627037
46.0,1.0,PH153627038
69.0,1.0,PH153627043
70.0,1.0,PH153627049
62.0,1.0,PH153627051
28.0,1.0,PH153627055
38.0,1.0,PH153627058
25.0,1.0,PH153627060
61.0,1.0,PH153627062
58.0,1.0,PH153627063
86.0,1.0,PH153627064
22.0,1.0,PH153627069
44.0,1.0,PH153627070
34.0,1.0,PH153628001
61.0,1.0,PH153628016
67.0,1.0,PH153628017
73.0,1.0,PH153628033
38.0,1.0,PH153628038
46.0,1.0,PH153628039
45.0,1.0,PH153628041
62.0,1.0,PH153628042
54.0,1.0,PH153628046
125.0,1.0,PH153629004
81.0,1.0,PH153629005
118.0,1.0,PH153629011
52.0,1.0,PH153629019
78.0,1.0,PH153629027
115.0,1.0,PH153629037
177.0,1.0,PH153630036
35.0,1.0,PH153631002
92.0,1.0,PH153631004
33.0,1.0,PH153631006
57.0,1.0,PH153631008
103.0,1.0,PH153631010
80.0,1.0,PH153631011
89.0,1.0,PH153631012
61.0,1.0,PH153631016
180.0,1.0,PH153631017
83.0,1.0,PH153631020
94.0,1.0,PH153631021
81.0,1.0,PH153631023
23.0,1.0,PH153631027
18.0,1.0,PH153631029
24.0,1.0,PH153631031
96.0,1.0,PH153631032
68.0,1.0,PH153632008
77.0,1.0,PH153632015
43.0,1.0,PH153632018
96.0,1.0,PH153632031
59.0,1.0,PH153632038
132.0,1.0,PH153632041
77.0,1.0,PH153632042
50.0,1.0,PH153632050
74.0,1.0,PH153632052
67.0,1.0,PH153632054
76.0,1.0,PH153632055
46.0,1.0,PH153633003
34.0,1.0,PH153633005
83.0,1.0,PH153633007
50.0,1.0,PH153633008
24.0,1.0,PH153633009
32.0,1.0,PH153633010
39.0,1.0,PH153633013
44.0,1.0,PH153633017
35.0,1.0,PH153633020
88.0,1.0,PH153633021
41.0,1.0,PH153633022
39.0,1.0,PH153633023
25.0,1.0,PH153633025
12.0,1.0,PH153633029
39.0,1.0,PH153633033
41.0,1.0,PH153633035
46.0,1.0,PH153633037
37.0,1.0,PH153633038
36.0,1.0,PH153633039
53.0,1.0,PH153633040
21.0,1.0,PH153633043
34.0,1.0,PH153633044
